�ܺ�t	nr
浅昏迷 ns
晕动症 ns
胎痣 ns
血管痣 ns
生理性厌食 ns
内踝下区域疼痛肿胀 ns
四肢苔藓样变 ns
肠坏死 ns
骨密度增加 ns
指甲易碎 ns
臀肌挛缩 ns
瞳孔异常 ns
异常瞳孔 ns
足跟的后上方疼痛的红色肿... ns
高位截瘫 ns
小支气管平滑肌挛缩 ns
腹部逐渐胀大 ns
指甲呈现黑色 ns
眉弓凹陷 ns
伸膝障碍 ns
畏光及流泪 ns
肢体发凉 ns
白渣样鼻涕 ns
肾部积水现象 ns
食指指甲凹陷 ns
皮毛窦 ns
急性呼吸困难 ns
剧烈疼痛 ns
红色盲 ns
毒血症 ns
前庭神经受损 ns
鼻端肥大 ns
人格解体 ns
灰白大便 ns
腺样体面容 ns
体内水钠潴留 ns
经期浮肿 ns
跟腱疼痛 ns
肺泡炎症 ns
主动脉弓右位 ns
重压感、紧箍感或钳夹样头... ns
肝气犯脾 ns
干胁痛 ns
纤维素性胸膜炎 ns
盲点 ns
产后小腹坠痛 ns
老年人非病变性眼前飞蚊 ns
老年性生理性飞蚊症 ns
静脉栓塞 ns
浅筋膜炎 ns
婴儿脚气 ns
血虚眩运 ns
目痛 ns
舌干苔厚 ns
冷结节 ns
颈强直 ns
歪鼻 ns
性腺发育不良 ns
输尿管囊肿 ns
下呼吸道感染 ns
呕吐苦水 ns
无胡须 ns
膝关节肿胀积血 ns
脉搏短绌 ns
直立性脱虚 ns
体位性低血压 ns
腮颊肿胀 ns
手握物无力 ns
间歇性失忆 ns
猝倒 ns
四肢瘫痪 ns
皮肤浸润 ns
皮下组织水肿 ns
反复感染 ns
泛吐清水 ns
餐后综合征 ns
头颈部活动受限 ns
老人髋部疼痛 ns
劳累后感觉胸闷 ns
尿流缓慢 ns
肝经热甚 ns
易激动 ns
年轻女性心悸胸闷 ns
乳腺外上象限腺体增厚 ns
指甲翘起 ns
轻度烧伤 ns
眵泪粘腻 ns
腰大肌脓肿 ns
小脑畸形 ns
高碳酸血症 ns
肝转移 ns
新生儿眼屎多 ns
强迫性联想 ns
颅内头痛 ns
泪腺脱垂 ns
腰腹酸沉 ns
膝后肿胀疼痛，活动受限 ns
摩擦型性变态 ns
挤恋 ns
瓣膜小叶增厚 ns
局部游走性红斑 ns
抱轮红赤 ns
浅褐色色素斑 ns
多汗且臭味较浓 ns
无痛性口腔溃疡 ns
颈部强硬 ns
肺部�音 ns
眼底出血和渗出 ns
高睾酮血症 ns
血清睾酮浓度低下 ns
乳腺发育不良 ns
逼尿肌反射亢进 ns
静息痛 ns
心包填塞 ns
尿液氨水味 ns
传导性腹痛 ns
口渴喜饮 ns
烦渴多饮 ns
手足发抖 ns
反复抽搐 ns
肌肉挫伤 ns
方肩畸形 ns
慢性溃疡 ns
侧卧时位于下侧鼻腔出现鼻... ns
交替性鼻塞 ns
老人行动迟缓 ns
谵妄 ns
无腋毛 ns
不能持续睁眼 ns
毛孔角化过度 ns
剧烈运动后哮喘 ns
外阴压痛 ns
宫颈软 ns
肝质地硬 ns
暴盲 ns
肺部或支气管周围可呈现纹... ns
小儿进食易呕吐 ns
口唇苍白 ns
骨痒 ns
眼前冒金花 ns
齿龈肥厚 ns
泪腺肿大 ns
心肌坏死广泛 ns
心肌梗死 ns
咳出棕色痰栓 ns
肠壁水肿增厚 ns
鼻翼扇动 ns
脑白质稀疏 ns
颈椎肥大 ns
齿龈增生 ns
舌口及咽部烧灼感 ns
伴有生动鲜明的恐怖性幻视 ns
老年人高粘血症 ns
细菌性心内膜炎 ns
颈椎退化 ns
被窃或疑病妄想 ns
皮肤呈鳞片状 ns
呈马蜂螫型游走性水肿 ns
腓肠肌拉伤 ns
老年人流泪多 ns
糖代谢紊乱 ns
肠狭窄 ns
妊娠期间甲亢 ns
血疱 ns
持续性剧烈的肩痛 ns
双手震颤 ns
人格改变 ns
酮尿 ns
轻度精神发育迟滞 ns
肠鸣漉漉 ns
肠鸣 ns
肌张力降低 ns
肌张力不够 ns
情绪性头痛 ns
心脏病引发的晕厥 ns
舌体深裂 ns
交替脉 ns
头发枯黄稀疏 ns
脑干病变 ns
中枢性发热 ns
脱症 ns
烂眼边 ns
睑弦部潮红溃烂 ns
普秃 ns
水疱或大疱损害 ns
甲下出血 ns
踝部凹陷性水肿 ns
脐带过短 ns
角质层过度增厚 ns
鼻根部水肿 ns
门诊高血压 ns
白大衣性高血压 ns
水潴留 ns
子痫症状 ns
黄素化囊肿 ns
血栓脱落 ns
足的放射性疼痛 ns
阴囊红肿 ns
低磷血症 ns
行走时发生腓肠肌麻木 ns
腓肠肌麻木 ns
肛门会阴区潮湿不洁 ns
耳下区的韧实肿块 ns
乳头侵蚀 ns
纵隔增宽 ns
阴阳气血失衡 ns
孕产妇腰痛 ns
产后骶骨痛 ns
尿色酱红或呈酱油色 ns
味觉减退 ns
阳虚胃痛 ns
夜尿清长 ns
指甲倒刺 ns
指甲下脱皮 ns
皮肤干而发红 ns
指甲变软或发生变形 ns
招风耳 ns
不规则热 ns
青春期甲亢 ns
凛寒发热 ns
甲胎蛋白增高 ns
奔马律心音 ns
皮肤弹性差 ns
眼球调节功能减退或消失 ns
皮肤皴裂 ns
喉部痉挛 ns
肺门增宽 ns
婴儿体重增长过快 ns
扁平骨盆 ns
多音律心音 ns
舌齿龈疼痛性粟粒至水疱 ns
颌下腺疼痛、压痛 ns
行走踩棉花感 ns
津液亏损 ns
虚脉 ns
喉管阻塞 ns
手腕长骨刺 ns
浑身忽冷忽热 ns
手与手指胀满感 ns
晕轮效应 ns
光环效应 ns
手腕肿痛及掌屈活动受限 ns
潮式呼吸 ns
陈-施呼吸 ns
鼻咽癌的远处转移 ns
排精不畅 ns
射精不畅 ns
呈红色条索，游走的浅静脉 ns
侵蚀性水疱 ns
原发性便秘 ns
股四头肌损伤 ns
蜂窝肺 ns
扁桃体上有灰色膜 ns
扁桃体伪膜 ns
热结节 ns
强迫性穷思竭虑 ns
唾液腺肿大 ns
尿液呈黑色 ns
窜痛 ns
走窜痛 ns
游走痛 ns
胸部挫伤 ns
突然出现剧烈的腰痛 ns
超量饮酒后两下肢突然出现... ns
肾动脉硬化 ns
眼球偏斜 ns
对眼 ns
斗鸡眼 ns
斜白眼 ns
咽部有散在灰白色丘疱疹 ns
胸骨后异物阻塞感及隐痛 ns
有排卵性功血 ns
全秃 ns
躯体或颜面某一局部的连续... ns
颅内钙化 ns
胎动减少 ns
虚烦失眠 ns
头皮下血肿 ns
胁部肿胀 ns
低血糖性昏迷 ns
胆囊收缩功能不良 ns
指甲呈筒形 ns
脐带血流 ns
慢性房颤 ns
块状痰 ns
单项ALT升高 ns
凉结节 ns
饭后困倦 ns
韧带骨化 ns
黑色鼻涕 ns
鼻部结核 ns
青春期胸部发育缓慢 ns
足底溃疡 ns
婴儿睡觉惊跳 ns
容易激动 ns
尿比重增高 ns
言语紊乱 ns
语言障碍 ns
言语紊乱 ns
言语病 ns
痢疾样大便 ns
皮下脂肪消失 ns
食管扩张 ns
无助感 ns
一侧腰腹突发“刀割”样绞... ns
输卵管肿大 ns
皮下指头至鸽蛋大的肿块结... ns
癌性输尿管狭窄 ns
尿潴留 ns
体毛脱落 ns
宫颈粘液少 ns
周围神经损害 ns
皮肤黏膜出血 ns
胎盘大 ns
气息异常 ns
异常气息 ns
小指不明原因痛 ns
进食困难 ns
学习困难 ns
学习障碍 ns
血清TG水平升高 ns
血清甘油三酯 ns
成人多动症 ns
成年轻微脑功能障碍 ns
牙有伸长感及触痛 ns
婴儿喂养困难 ns
尿涩 ns
儿童胸廓变形 ns
指甲很短 ns
新陈代谢旺盛 ns
鼻端出火 ns
肺下叶周围呈节段性或大叶... ns
呼吸窘迫综合症 ns
局部肢体抽动 ns
脉沉弦 ns
鼻唇沟加深 ns
颈椎关节的根性疼痛 ns
桥脑出血 ns
肠囊性积气 ns
术后疼痛 ns
沉脉 ns
骨膜反应 ns
胡子稀疏 ns
胡须稀疏 ns
乳腺肥大 ns
胰腺功能不足 ns
衰弱 ns
尿道瘘 ns
胸大肌痛 ns
脐带感染 ns
手足厥冷 ns
四肢逆冷 ns
手足逆冷 ns
四肢厥逆 ns
胎儿生长发育迟缓 ns
飞蚊症 ns
穿透性皮肤变性 ns
行为及情绪异常 ns
非玻璃体的病变眼前飞蚊 ns
先天性生理性飞蚊症 ns
产后胸部下垂 ns
恶性胸水 ns
强迫性人格 ns
肝脏病变弥漫 ns
肝纤维化 ns
足跟淤血 ns
CO2潴留 ns
球蛋白异常 ns
酒后便血 ns
呼气困难 ns
手掌呈黄色 ns
孕妇腹部硬块 ns
肌腱端炎 ns
副耳 ns
一过性昏厥 ns
单纯性、血管神经性昏厥 ns
椎体结核 ns
手指扭伤 ns
肝-颈静脉回流征阳性 ns
黄色结节 ns
婴儿热痱 ns
臀中肌损伤 ns
难入睡或易惊醒 ns
鼻前庭皮肤红肿疼痛 ns
早孕反应重 ns
屈光不正性弱视 ns
撕脱骨折 ns
视觉识别障碍性眩晕 ns
胎黄 ns
胎疽 ns
新生儿黄疸 ns
呼吸道狭窄 ns
血小板聚集增强 ns
思虑伤脾 ns
拇指不明原因疼痛 ns
齿槽骨萎缩 ns
食管梗阻 ns
钩蚴性皮炎 ns
博氏线 ns
腹肌肌肉抽搐 ns
耳前庭功能受损 ns
骨龄延迟 ns
溲黄 ns
胸部沉重感 ns
弥漫性下腰痛 ns
耳垂小 ns
角弓反张位 ns
抱癖 ns
羊水粪染 ns
角栓 ns
肝经气滞 ns
湿�音 ns
骨髓巨核细胞成熟障碍 ns
心脏畸形 ns
鼻毛脱落 ns
肩部牵涉痛 ns
括约肌功能障碍 ns
胸膜钙化 ns
瓣膜增厚 ns
产道扁平型狭窄 ns
静脉曲张性溃疡 ns
产道血肿 ns
营养障碍 ns
皮肤色素加深 ns
弯曲不利 ns
关节僵硬 ns
耳垂过大 ns
低分子蛋白尿 ns
癫痫的失神发作 ns
喜怒无常 ns
情志内伤 ns
阑尾感染 ns
切口感染 ns
舌苔白润 ns
肌肉撞伤 ns
没有肛门 ns
中度或轻度头痛 ns
血管壁变薄 ns
血管壁破裂 ns
舌根部脓肿 ns
眉间皱纹 ns
腹膜刺激征 ns
迫害妄想 ns
输尿管梗阻 ns
感染性鼻炎 ns
膀胱排空不全 ns
鼻脓涕有臭味 ns
肺弥散功能障碍 ns
肝热及胆 ns
心悸伴心率异常 ns
畏光流泪 ns
嗜酸细胞增加 ns
骨痹 ns
风湿性多发性肌痛症 ns
黄斑回避现象 ns
肝外胆管结石 ns
舌肌萎缩 ns
白色视野缺损 ns
原发性视网膜脱离 ns
增殖腺肥大 ns
始于眼部，扩张开来的面头... ns
血管扩张性头痛 ns
植物神经性面头痛 ns
血性耳漏 ns
咳嗽反射 ns
平滑肌痉挛 ns
血热妄行 ns
血热 ns
手足烦热 ns
鼻咽腔狭窄 ns
手掌硬性水肿 ns
坐骨大小孔区出现压痛 ns
气血凝滞 ns
尿比重下降 ns
牙齿咬合无力 ns
腹痛下痢 ns
腹痛腹泻 ns
婴儿斜视 ns
咽痛声哑 ns
痛性红舌 ns
头枕部慢性疼痛 ns
囟门闭合晚 ns
轻度心悸心慌 ns
髌周指压痛 ns
捕蝇舌征 ns
儿童偏头痛 ns
口涎外溢 ns
流口水 ns
药物性肥胖 ns
外眼源性眩晕 ns
绞痛 ns
情绪性厌食 ns
干热无汗 ns
疝区的疼痛或坠胀感 ns
非对称性关节痛 ns
肾脏破裂 ns
肥厚瘢痕 ns
食指半月甲呈粉红色 ns
头重足轻 ns
耻区肿块 ns
痣细胞 ns
痣细胞痣 ns
脊神经根受损 ns
肘外侧肿痛及功能障碍 ns
头目晕沉 ns
蓝巩膜 ns
心源性胸痛 ns
颈部囊性病变 ns
囊状水瘤 ns
阴道排出碎块组织 ns
胆囊触痛征 ns
墨菲征 ns
头顶重压发紧 ns
管型尿 ns
特禀体质 ns
脆性X综合征 ns
肠功能紊乱 ns
痉挛性便秘 ns
血浆胆固醇水平高 ns
血浆胆固醇 ns
真性近视 ns
癫痫的复杂部分性发作 ns
胃扩张 ns
肩胛放射性疼痛 ns
持续性肠绞痛 ns
伴皮膜粘膜出血 ns
呼吸不规则 ns
面部畸形 ns
孕妇感冒 ns
虹膜异色 ns
血性恶露持续时间延长 ns
先天性少白头 ns
骨骼肿块 ns
胃移位 ns
更年期抑郁 ns
肛内分泌物多 ns
碘甲亢 ns
十二指肠狭窄 ns
大肠黑变 ns
胸片示肺内孤立结节 ns
溃疡分泌物恶臭 ns
皮肤黑变 ns
阵发性鼻塞 ns
腰部的不稳交锁现象 ns
过度通气 ns
逼尿肌不稳定 ns
失水 ns
脱水 ns
淋巴液流出 ns
胃失和降 ns
胃气不降 ns
大腿局部肿胀变形 ns
骶尾椎融合 ns
偏盲 ns
经络阻塞 ns
口腔黏膜黄豆大小，半透明... ns
鼻甲萎缩 ns
乳汁郁结 ns
乳房巨大 ns
尿液烂苹果味 ns
肛管狭窄 ns
皮肤青紫色改变 ns
口香 ns
淋巴管淤积 ns
踝膝关节积液 ns
黄色蛋花样稀便 ns
扑翼样震颤 ns
蔷薇疹样皮疹 ns
弦脉 ns
关节痛 ns
咀嚼肌痉挛 ns
全身持续性水肿 ns
脊柱生理弯曲消失 ns
挖耳出血 ns
运动后尿血 ns
双侧肾内痛 ns
高凝状态 ns
脾气变坏 ns
发作性四肢肌肉僵直 ns
痘疮 ns
乳房有数目不等似黄豆的结... ns
r ns
睁眼昏迷 ns
尿胆红素阴性 ns
黑尿 ns
心音低钝 ns
发音障碍 ns
年轻人的眼袋 ns
手腕在大拇指侧的疼痛 ns
思维松弛 ns
思维散漫 ns
弓形足 ns
双肾皮质变薄 ns
桡骨茎突剧痛 ns
神经根刺激 ns
髓鞘化延迟 ns
泪腺囊肿 ns
手背部皮肤发红肿胀 ns
考试焦虑 ns
产后便血 ns
毛发干燥易断 ns
臀部放射痛 ns
孤立肾 ns
善太息 ns
夜间睡眠气短憋醒 ns
口中有金属甜味 ns
汗出如油 ns
急性贫血 ns
汗毛过多 ns
三叉神经分布区麻木感 ns
唇甲色淡 ns
荨麻疹样皮疹 ns
面部多毛 ns
膝关节软弱无力 ns
厌奶 ns
胸口闪电疼痛 ns
构音不清 ns
说话不清楚 ns
手机依赖症 ns
内脏性肥胖 ns
阴虚胃痛 ns
排水样血性大便 ns
蹲下起来后眼前发黑 ns
精神创伤 ns
心理创伤 ns
巅顶疼痛 ns
巅顶痛 ns
顶巅痛 ns
电脑失写症 ns
胃粘膜增粗 ns
孕妇尿频 ns
颌骨错位 ns
尾部疼痛而拒坐 ns
带血性分泌物 ns
肩部或肩胛区持续钝痛和深... ns
交感神经高度紧张 ns
腓肠肌痉挛 ns
(腓踹)转筋 ns
情绪性多汗症 ns
膈膨升 ns
傻笑 ns
静脉出血 ns
仰颈时吞咽困难 ns
足部坏疽 ns
四肢不温 ns
耳道流脓 ns
强迫性神经官能症 ns
醛固酮分泌增多 ns
风湿性血管炎 ns
凝血障碍 ns
体温调节紊乱 ns
口粘腻 ns
牙移位 ns
全身皮肤散在黑痣 ns
喉头发紧 ns
缺乏自控能力 ns
胃粘膜呈萎缩性改变 ns
并指（趾）畸形 ns
视网膜裂孔 ns
下腹部钝痛和酸胀感 ns
肢体局部的皮肤颜色和温度... ns
阳盛体质 ns
婴儿黑头粉刺 ns
喉鸣声 ns
口淡不渴 ns
耳后乳突水肿 ns
运动性疲劳 ns
恐水症 ns
毛发增生 ns
全身弥漫性潮红 ns
玻璃体经瞳孔向前房凸出 ns
三角韧带损伤 ns
肝浊音界缩小或消失 ns
平衡功能障碍 ns
妊娠后期水肿 ns
闭孔神经损害 ns
脱水热 ns
皮下脂肪坏死 ns
静脉血氧饱和度（SVO2）降... ns
膨胀性萎缩纹 ns
白线 ns
白纹 ns
膨胀纹 ns
妊娠纹 ns
睡觉后全身大汗淋漓 ns
气管阻塞 ns
新生儿四肢抖动 ns
耳廓牵拉疼 ns
耳廓牵引痛 ns
皮肤萎缩和色素沉着 ns
强迫性重复 ns
三怕(水声、光、风)现象 ns
新生儿少哭 ns
浅眠 ns
急性非化脓性一过性颈淋巴... ns
Moro反应迟钝 ns
惊跳反射迟钝 ns
情感依赖 ns
大量饮酒后突然视力减退 ns
阳明热盛 ns
肌肉硬结 ns
肠蠕动减少 ns
感觉性共济失调 ns
饮酒性面红 ns
足背部肿胀 ns
肢体肿胀 ns
全身消瘦型 ns
玻璃体内可见球形囊体 ns
关节僵直 ns
关节活动障碍 ns
牙槽突型 ns
肌张力减低 ns
皮肤干枯 ns
耳蜗性耳聋 ns
囊肿样改变 ns
尿白 ns
颅压增高 ns
钙化影 ns
口吐血沫 ns
前期妊娠反应 ns
早娠反应 ns
新生儿长牙 ns
乳牙早萌 ns
灌肠癖 ns
一过性肉眼血尿 ns
创伤性宫腔粘连 ns
咽反射 ns
口咽部水疱状损害 ns
慢性静脉功能不全 ns
子宫破裂征象 ns
湿热浸淫 ns
睡眠过度 ns
声音变低 ns
阴囊舌 ns
婴儿褐色或暗绿色的粘液便 ns
饥饿性粪便 ns
饥饿性腹泻 ns
肺门阴影增多 ns
口干渴难忍 ns
儿童偏食 ns
肌肉完全断裂 ns
强迫性脊柱炎 ns
灰白色结节 ns
耳冻伤 ns
黄色发亮结痂 ns
痰湿停聚 ns
情绪性失眠 ns
思维紊乱 ns
Todd瘫痪（遗留暂时性局部... ns
Todd麻痹 ns
耳顶线以下至发际处痛觉过... ns
粉红色泡沫样痰 ns
硬斑 ns
幻肢痛 ns
蛛网膜腔内囊肿 ns
直立性低血压晕厥 ns
静脉豆 ns
静脉窦 ns
尿道平滑肌松弛 ns
尿道括约肌松弛 ns
女性第二性征消失 ns
气过水声 ns
动脉血氧饱和度降低 ns
尾骶部疼痛 ns
胃肠功能不良 ns
胃肠功能障碍 ns
胃肠功能神经官能症 ns
口腔粘膜有形似奶块的斑膜 ns
瞳孔变形 ns
下唇麻木 ns
乳头状肿物 ns
腹内压升高 ns
房室分离 ns
周身出汗 ns
前臂旋转痛 ns
深黄色或带绿色的水样便 ns
齿�生疮 ns
牙龈生疮 ns
牙疮 ns
结膜异物 ns
皮肤弥漫潮红 ns
红皮病 ns
血尿伴排尿不畅 ns
睡眠中周期性腿动 ns
腱反射消失 ns
单眼失明 ns
蹲踞现象 ns
外耳道狭窄 ns
关节液增加 ns
痰检阴性 ns
咬嘴唇或舌 ns
截瘫 ns
纵膈气肿 ns
XA-现象 ns
鱼鳞癣样红皮 ns
肌束震颤 ns
面色青灰 ns
胆囊扣痛 ns
舌咬伤 ns
性施虐癖 ns
胫骨结节处的酸痛，肿胀 ns
呼吸浅慢 ns
口角肌肉的抽搐 ns
一过性红斑狼疮样 ns
胸部紧迫或束带感 ns
胸部紧迫 ns
宫颈闭锁 ns
头颈部剧痛 ns
温热病邪 ns
心肌耗氧量增加 ns
咯血如注 ns
肝细胞内脂肪堆积过多 ns
呼吸气为尿臭味 ns
以偷窥为快感源泉的性变态 ns
额部白斑 ns
溃疡外观呈火山口样 ns
两眼刺痛 ns
腰软不能直起 ns
口唇潮红 ns
听觉障碍 ns
皮肤冻伤 ns
产后极度虚弱 ns
组织坏死 ns
维生素D中毒 ns
宫颈前唇水肿 ns
局部静脉压痛 ns
反复发作抑郁症 ns
眼睑松弛 ns
口酸伴有口苦烧心 ns
蛔虫感染 ns
腿前内侧出现感觉异常 ns
面部皮肤油腻 ns
新生儿发绀 ns
新生儿紫绀 ns
髌后捻发音 ns
体循环淤血 ns
马蹄内翻足 ns
呼吸音减弱 ns
持物不稳 ns
喉咙冒黏液 ns
自汗肢冷 ns
髋部酸胀不适 ns
慌张步态 ns
对听、视、触觉等刺激反应... ns
脑神经麻痹 ns
甲身凹沟 ns
不能向尺侧屈腕及屈环小指... ns
手指不能屈伸 ns
食指不明原因疼痛 ns
舌嫩苔厚 ns
肝大而硬 ns
血性恶露 ns
颅骨增生 ns
鼻唇沟变浅 ns
高血脂性血管损害 ns
鼻咽异物 ns
挤压伤 ns
内脏痛 ns
下垂乳房 ns
烧灼性疼痛 ns
手部震颤 ns
深昏迷 ns
口、眼、生殖器损害 ns
三陪在征 ns
骶尾部窦道形成 ns
便稀时经阴道排出 ns
手足蠕动 ns
脑脊液蛋白量增高 ns
牙关紧闭 ns
牙关紧闭症 ns
骶尾部急性脓肿 ns
视野缩小 ns
胫前指压性水肿 ns
癫痫的单纯部分性发作 ns
鼻黏膜溃疡 ns
继发性视神经萎缩 ns
绿色弱 ns
胸口紧绷 ns
卧床不起 ns
胎动过频 ns
肝叶萎缩 ns
血液呈现浓缩 ns
颈静脉充盈 ns
牙龈痒胀 ns
尿中有特殊鼠臭味 ns
踝阵挛 ns
肌腱扭伤 ns
屈伸不利 ns
舒张压上升 ns
肢体麻痛 ns
肝脂肪变 ns
足底烧灼感 ns
指甲有红色或黑色斑点 ns
胎漏不止 ns
冲动型人格障碍 ns
胫前和足部坚硬的非凹陷性... ns
喜凉怕热 ns
关节挛缩 ns
动脉出血 ns
吞咽干食物时胸骨后有阻塞... ns
心胃的奇怪感觉 ns
嘈杂 ns
心嘈 ns
阴雨天颈肩背部酸痛 ns
子宫颈有举痛 ns
唇圆或椭圆形红斑 ns
口辣 ns
小腿溃疡 ns
皮肤萎缩 ns
发际作痛 ns
少阳作痛 ns
鼻腔前部出血 ns
难治性贫血 ns
呆滞 ns
颈动脉窦性晕厥 ns
间歇性血尿 ns
盆腔充血 ns
余沥不净 ns
口咽异物 ns
鼻腔不能关闭引起的鼻音 ns
开放性鼻音 ns
不真实感 ns
胸式呼吸 ns
痉挛 ns
尿意窘迫 ns
血管过敏性炎症 ns
下腹部反跳痛 ns
痛引肩背 ns
肩背痛 ns
右心功能不全 ns
臀肌萎缩 ns
染色体畸形 ns
上肢突然出现肿胀酸痛 ns
紧箍咒一样头紧 ns
股动脉枪击音 ns
心跳很乱 ns
心律不齐 ns
手掌及足底发红 ns
捻发音 ns
维生素B12吸收不良 ns
湿性坏疽 ns
多指（趾）畸形 ns
额上汗出 ns
额汗 ns
鼓膜发红，耳后红肿 ns
脸颊出现红血丝 ns
大小便潴留 ns
眉弓囊肿 ns
泌尿道狭窄 ns
肢体震颤 ns
足趾发凉怕冷，呈苍白色或... ns
抗Jo-1抗体阳性 ns
剧烈运动或强体力劳动后血... ns
胎毛多 ns
右室肥厚 ns
产后自汗盗汗 ns
眼前冒火花或眼前闪光 ns
纵隔淋巴结增生 ns
关节囊松弛 ns
意向性震颤 ns
动作性震颤 ns
脑占位性病变 ns
习惯性尿裤 ns
牙齿萌出疼痛 ns
瞳孔两侧不等大 ns
交叉腿 ns
血流动力学障碍 ns
血流障碍 ns
咳出带臭味的干痂 ns
婴儿出牙延迟 ns
头皮松垂 ns
垂体危象 ns
毛囊角栓 ns
恶臭便 ns
恶臭脂肪便 ns
甲亢面容 ns
恐怖状面容 ns
下肢感应痛或放射痛的腰背... ns
髋内翻 ns
麦糠样脱屑 ns
双相型体温 ns
生长激素分泌过少 ns
脓性分泌物增多 ns
肺部化脓性感染 ns
舌淡体胖 ns
脸部大小不一 ns
耳内流脓 ns
热痉挛 ns
脾阳虚衰 ns
脾阳虚 ns
精道疼痛 ns
腱鞘变干 ns
免疫功能障碍 ns
近事遗忘现象 ns
水中毒 ns
稀释性低钠血症 ns
石骨症 ns
枕横位入盆 ns
结膜干燥斑 ns
屈光参差性弱视 ns
面部闪电疼痛 ns
指甲干瘪 ns
牙釉质腐蚀 ns
齿龈有蓝线 ns
脊髓休克 ns
脊休克 ns
尿暗黑色 ns
暗褐色尿 ns
眼睑外翻 ns
睑外翻 ns
病理性醉酒 ns
眼球斑点 ns
易醒 ns
指甲可见横沟纺 ns
蜕膜反应 ns
舌肌麻痹 ns
舌歪斜 ns
病理性Q波 ns
粟粒性结核 ns
肠淤滞 ns
眶周水肿 ns
新生儿两眼上翻凝视 ns
妊娠中毒 ns
精神过敏 ns
神经过敏 ns
生理性肥胖 ns
功能性震颤 ns
青年白内障 ns
菌尿 ns
皮下脂肪增多 ns
泪腺发炎 ns
前阴寒冷 ns
牵引性头痛 ns
免疫损害 ns
输卵管肿块 ns
泌尿道阻塞 ns
颈部粗 ns
睡瘫症 ns
腹腔积血 ns
对光反应消失 ns
皮肤肥厚 ns
牙龈深红或暗红色 ns
自恋 ns
水仙花 ns
纳喀索斯症 ns
影恋 ns
唇角脱屑 ns
下肢湿性坏疽 ns
Korsakov综合征 ns
长骨肿胀疼痛 ns
上呼吸道感染 ns
直肠狭窄 ns
头皮坏死 ns
酒精成瘾 ns
三联征 ns
双侧下腹坠痛 ns
稽留热 ns
舌头震颤 ns
滑膜增厚 ns
紧张性失眠 ns
重度烧伤 ns
垂体功能紊乱 ns
热痛 ns
胡萝卜素血症 ns
结核中毒 ns
中毒性巨结肠 ns
巨指(趾) ns
胸膈间烧灼嘈杂感 ns
心中懊侬 ns
小儿爱咬指甲 ns
足趾伸屈时足部疼痛 ns
中枢性呼吸暂停 ns
肛裂三联征 ns
腹围增大 ns
对称性肌无力 ns
脓气胸 ns
间歇热 ns
呕恶纳呆 ns
中指不明原因痛 ns
肝脏轻度脂肪变性 ns
掌趾皮肤黄色角化物 ns
小儿右上腹阵发性绞痛 ns
痉挛性截瘫期 ns
双肺水泡音 ns
早晨上下眼睑粘连 ns
木僵 ns
弱视眼的拥挤现象 ns
结肠膨胀 ns
脚上血泡 ns
产后大便失禁 ns
股二头肌损伤 ns
囟门跳动 ns
颅外头痛 ns
肺泡出血 ns
惊跳 ns
干�音 ns
口唇周围有炎性鳞状皮肤 ns
头颅骨病变 ns
面部皮肤皱纹增多 ns
高腭弓 ns
气促 ns
药物性水肿 ns
对生活丧失兴趣 ns
记忆力下降 ns
肩带肌、上肢和胸背部诸肌... ns
下肢弥漫性水肿 ns
拒食 ns
入睡障碍性失眠 ns
脉细数无力 ns
脑白质偏少 ns
颈部瘰疬 ns
蛙状腹 ns
蛙形腹 ns
眼张不开 ns
第5指短小弯曲 ns
震水音 ns
动脉盗血 ns
大脑性共济失调 ns
骨软化 ns
非感染性发热 ns
浮脉 ns
孕妇乳房胀痛 ns
热毒炽盛 ns
黄斑盘状变性 ns
眼球移位 ns
移动性浊音 ns
妊娠期的生理变化 ns
前列腺素合成减少 ns
额部肿块 ns
妊娠晚期或临产时无痛性反... ns
高温性水肿 ns
胸腰段及腰椎前凸消失 ns
鼻尖或鼻翼出现带状疱疹 ns
巨肠症 ns
易哭 ns
唇厚舌大 ns
梅毒肝 ns
面痛 ns
肾浓缩功能障碍 ns
小眼球 ns
四肢俱软 ns
四肢乏力 ns
膝腱反射消失 ns
青春期后无精液 ns
光感性皮肤损害 ns
浅表性疤痕 ns
胆汁淤滞 ns
血象异常 ns
反复高热 ns
骨压痛 ns
睫毛掉落 ns
钙沉积 ns
QRS波宽大畸形 ns
角膜表面三角形胬肉 ns
小腿和踝关节周围的紫红色... ns
中度昏迷 ns
隐性水肿 ns
突发性疼痛 ns
全身衰竭 ns
腠理不固 ns
继发性便秘 ns
排便感 ns
肠闭锁 ns
眼球挫伤 ns
上半身代偿性多汗症 ns
化学性皮肤灼伤 ns
手指歪斜 ns
肌无力危象 ns
胀坠感 ns
睡眠时睑闭合不全 ns
睁眼睡觉 ns
无脉症 ns
大动脉炎 ns
垂腕 ns
咬痛 ns
严重情绪障碍 ns
行走后小腿肌肉痉挛 ns
行走后小腿抽筋 ns
咽喉及口内刺痒 ns
噎痛感 ns
前囟饱满 ns
口渴 ns
齿迟 ns
齿不生 ns
巨痣症 ns
脑器质性精神障碍 ns
肾缺血 ns
股神经损害 ns
足底和足背浮肿 ns
牵涉痛 ns
耳朵位置低 ns
癌性疼痛 ns
癌痛 ns
精枯髓竭 ns
